sample_id,kind,modality,start_index,end_index_exclusive,delta_target_probability,delta_score
01,modality,text,-1,-1,0.26860734820365906,0.30144503712654114
01,modality,audio,-1,-1,0.07084518671035767,0.04052102565765381
01,modality,vision,-1,-1,0.039204299449920654,-0.02505066990852356
01,window,text,1,5,0.04269218444824219,0.017128974199295044
01,window,text,5,9,0.05504250526428223,0.045907020568847656
01,window,text,9,13,0.031161785125732422,0.08501195907592773
01,window,text,13,17,0.04372686147689819,-0.007654666900634766
01,window,text,17,21,0.024333834648132324,0.04570060968399048
01,window,text,21,23,0.025067448616027832,0.005927413702011108
01,window,audio,1,5,0.011898934841156006,0.006338298320770264
01,window,audio,5,9,0.01261979341506958,-0.0014371275901794434
01,window,audio,9,13,0.015867173671722412,0.010314136743545532
01,window,audio,13,17,0.013082146644592285,0.025484740734100342
01,window,audio,17,21,0.012313663959503174,0.0006971955299377441
01,window,audio,21,23,0.003084421157836914,-0.0012686550617218018
01,window,vision,1,5,0.01057654619216919,-0.01933467388153076
01,window,vision,5,9,0.00954902172088623,-0.004092484712600708
01,window,vision,9,13,0.005297362804412842,-0.0029422342777252197
01,window,vision,13,17,0.004195153713226318,0.0039199888706207275
01,window,vision,17,21,0.005509555339813232,-0.00015842914581298828
01,window,vision,21,23,0.002710402011871338,-0.0004762113094329834
02,modality,text,-1,-1,0.26918697357177734,0.04127347841858864
02,modality,audio,-1,-1,-0.040435075759887695,0.0004825964570045471
02,modality,vision,-1,-1,0.0780629813671112,0.09223388135433197
02,window,text,1,5,0.18020865321159363,0.14868906140327454
02,window,text,5,9,-0.10809218883514404,-0.22400768101215363
02,window,text,9,13,0.20248755812644958,0.370027631521225
02,window,text,13,17,-0.029573917388916016,0.001734115183353424
02,window,text,17,20,-0.15641337633132935,-0.4693562984466553
02,window,audio,1,5,-0.009023904800415039,-0.0008377023041248322
02,window,audio,5,9,-0.003486156463623047,0.0014324672520160675
02,window,audio,9,13,-0.02253618836402893,-0.0277659073472023
02,window,audio,13,17,-0.01261228322982788,-0.01486506313085556
02,window,audio,17,20,0.0059163570404052734,0.03989046439528465
02,window,vision,1,5,0.03237670660018921,0.041834454983472824
02,window,vision,5,9,0.013078182935714722,0.014109786599874496
02,window,vision,9,13,0.031820595264434814,0.04447503015398979
02,window,vision,13,17,0.003200709819793701,0.0049131810665130615
02,window,vision,17,20,-0.005698412656784058,-0.017512142658233643
03,modality,text,-1,-1,0.15172690153121948,-0.17494210600852966
03,modality,audio,-1,-1,0.03576144576072693,-0.0464201420545578
03,modality,vision,-1,-1,-0.05503550171852112,-0.1074228584766388
03,window,text,1,5,0.04937469959259033,0.00232541561126709
03,window,text,5,9,0.06395429372787476,-0.015893206000328064
