epoch,stage,loss,validation_mae,validation_macro_f1,missing_mae,criterion,seconds
1,warmup,1.2560965291530288,0.6928544640541077,0.41913120102697693,0.6881817579269409,0.8633771849827345,8.594374418258667
2,warmup,1.0318250576772114,0.6229729056358337,0.5648170370056649,0.6613354682922363,0.7747239395343976,8.133045196533203
3,warmup,0.9156165090857269,0.6042664647102356,0.609061692252698,0.6328294277191162,0.7381217444217176,8.141080856323242
4,warmup,0.830818819472997,0.617239773273468,0.5455933486961627,0.643695056438446,0.7674519165293949,8.179184436798096
5,warmup,0.780209303235797,0.609592080116272,0.5810679243536981,0.6452558040618896,0.7571799933372876,8.243513584136963
6,joint,0.8461398578708407,0.603365957736969,0.5777454326920776,0.6324873566627502,0.7464845517169458,11.466155529022217
7,joint,0.7730542688201207,0.5987895131111145,0.5943486107957253,0.6134162545204163,0.731967857555247,11.616302013397217
8,joint,0.7202413375317963,0.647571325302124,0.5510279838491718,0.6459916830062866,0.7835927361569741,12.637351751327515
9,joint,0.7014645462359174,0.6298767924308777,0.5820897742191503,0.6363866925239563,0.7655388660696876,11.70656156539917
10,joint,0.6556834219613378,0.6587633490562439,0.575758744855967,0.6516402363777161,0.7879552338463692,11.55981731414795
11,joint,0.6129710677094944,0.6377903819084167,0.5605440985722675,0.6328398585319519,0.7696109306828677,12.806432723999023
12,joint,0.5583492150187317,0.671882152557373,0.563138898757412,0.6627742052078247,0.8036168811475963,14.666349649429321
13,joint,0.5575604583799224,0.650877833366394,0.5662605883258894,0.637795090675354,0.7787404889143492,15.091296195983887
14,joint,0.5290989460579952,0.6345083117485046,0.559533092124875,0.6314624547958374,0.769104323836935,15.034072160720825
15,joint,0.5116709614581317,0.6347206234931946,0.5623538175046554,0.6511181592941284,0.779178813405884,14.508670330047607
