epoch,loss,validation_mae,validation_macro_f1,missing_mae,criterion,seconds
1,1.2184075908562573,0.6433956623077393,0.42349016865145894,0.6582598686218262,0.822671212644128,12.89185881614685
2,1.0427217659086472,0.6758955717086792,0.5219536639072235,0.6520222425460815,0.8059607104118756,11.687500953674316
3,0.9811518636473149,0.6046909093856812,0.5475101695533605,0.6174378395080566,0.745892172960771,12.087313175201416
4,0.9226636073375134,0.6153257489204407,0.5910407169099869,0.6240026950836182,0.7456141535652001,11.529060363769531
5,0.8671759278679456,0.6109917163848877,0.5976175671114111,0.6271508932113647,0.7444104534347468,11.788946390151978
6,0.8221957352796956,0.6089950203895569,0.5993549492697134,0.6226546764373779,0.7401549616350569,12.2946937084198
7,0.7684823294626947,0.6516013741493225,0.5723999709623087,0.6607736945152283,0.7883796417895579,12.189709424972534
8,0.7213227702170303,0.6472022533416748,0.58434240800494,0.6470465064048767,0.7752150988596878,12.463258743286133
9,0.6765707942277237,0.6417143940925598,0.5507013912223707,0.6454415917396545,0.7776668901345931,12.042668104171753
10,0.6255295581951057,0.6322174668312073,0.5735830839126008,0.6484454274177551,0.7742645518807204,12.273885726928711
11,0.6065435648140044,0.6578680872917175,0.5458327357714091,0.6512654423713684,0.7920114794485917,14.860289812088013
12,0.5429859915608335,0.6274768114089966,0.5971456952299864,0.6423251628875732,0.7618356497005412,14.293283224105835
13,0.5112160915654257,0.6692560911178589,0.5675611291352171,0.6620491743087769,0.8008168430331546,14.328349828720093
14,0.48627351441685335,0.6381579637527466,0.5851448867868739,0.6474246382713318,0.7751451632369922,14.574660062789917
15,0.47254856199860046,0.6264486312866211,0.5573823386823489,0.6324180364608765,0.7680405253103895,14.518126487731934
16,0.43613378204547953,0.6365642547607422,0.5699206455297792,0.645139217376709,0.7774668320994673,15.332982301712036
17,0.41837778129177344,0.6704041957855225,0.5636026776074282,0.6631258130073547,0.8015606938812678,14.553605318069458
18,0.40236346166860726,0.6801987886428833,0.5672609421887643,0.679090142250061,0.8164011696249251,14.237254619598389
