sample_id,modality,selected_window_abs_effect,random_window_abs_effect
01,text,0.08105051517486572,0.047766268253326416
01,audio,0.013792753219604492,0.011760532855987549
01,vision,0.020830392837524414,0.005386829376220703
02,text,0.3082980215549469,0.21689461171627045
02,audio,0.09316655993461609,0.005433171987533569
02,vision,0.11772799491882324,0.11772796511650085
03,text,0.1391611099243164,0.03614223003387451
03,audio,0.02232760190963745,0.0024589896202087402
03,vision,0.014255642890930176,0.00482630729675293
04,text,0.1888912320137024,0.0421181321144104
04,audio,0.0427170991897583,0.04356759786605835
04,vision,0.12250536680221558,0.09394478797912598
05,text,0.08920544385910034,0.032770752906799316
05,audio,0.03100341558456421,0.01609635353088379
05,vision,0.14831703901290894,0.06109786033630371
06,text,0.1593766212463379,0.03510689735412598
06,audio,0.01672297716140747,0.007312119007110596
06,vision,0.031223595142364502,0.02081376314163208
07,text,0.10104405879974365,0.02692347764968872
07,audio,0.004855096340179443,0.0021052956581115723
07,vision,0.014558911323547363,0.0008094906806945801
08,text,0.06076449155807495,0.056032419204711914
08,audio,0.11409622430801392,0.11970743536949158
08,vision,0.04529961943626404,0.024421751499176025
09,text,0.012313425540924072,0.00018078088760375977
09,audio,0.0018344521522521973,0.0018344521522521973
09,vision,0.00035583972930908203,0.00014263391494750977
10,text,0.4340962767601013,0.014586985111236572
10,audio,0.0063967108726501465,0.003460824489593506
10,vision,0.014754652976989746,0.002018153667449951
11,text,0.7487391233444214,0.02898961305618286
11,audio,0.053254783153533936,0.0365755558013916
11,vision,0.05654674768447876,0.027826786041259766
12,text,0.0988432765007019,0.05798542499542236
12,audio,0.0068885087966918945,0.0018968582153320312
12,vision,0.022246956825256348,0.006041765213012695
13,text,0.08293086290359497,0.05230116844177246
13,audio,0.011073291301727295,0.00456315279006958
13,vision,0.0,0.0
14,text,0.2311118245124817,0.05271834135055542
14,audio,0.01807427406311035,6.145238876342773e-05
14,vision,0.024868786334991455,0.0003718733787536621
15,text,0.32704249024391174,0.07841885089874268
15,audio,0.07933849096298218,0.05844336748123169
15,vision,0.03336071968078613,0.009335041046142578
16,text,0.007444858551025391,0.0020294189453125
16,audio,0.0002988576889038086,0.00030934810638427734
16,vision,0.0005195140838623047,0.0003796219825744629
17,text,0.013701021671295166,0.0012874603271484375
17,audio,0.0006673932075500488,0.00014084577560424805
17,vision,0.0022385120391845703,0.00028437376022338867
18,text,0.11773490905761719,0.03842589259147644
18,audio,0.009110808372497559,0.0009515881538391113
18,vision,0.02982419729232788,0.00020325183868408203
19,text,0.20485076308250427,0.10637974739074707
19,audio,0.03492528200149536,0.0038504600524902344
19,vision,0.07530808448791504,0.00768357515335083
20,text,0.021259307861328125,0.0027934908866882324
20,audio,0.005139470100402832,9.506940841674805e-05
20,vision,0.010550856590270996,0.006856441497802734
